radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
1.5	4	15.0	bottom_lifty	55.0	6.0	590.3917877258863	694.9611223059394	0.0	590.3917877258863	12.287280664334876	87343.64932003153
1.5	4	15.0	bottom_lifty	55.0	8.0	1132.5420521289932	1235.4864396550036	0.0	1132.5420521289932	16.383040885779835	116458.19909337541
1.5	4	15.0	bottom_lifty	55.0	10.0	1829.592392075845	1930.447561960943	0.0	1829.592392075845	20.478801107224793	145572.74886671925
1.5	4	15.0	bottom_lifty	55.0	12.0	2681.5428075664418	2779.8444892237576	0.0	2681.5428075664418	24.574561328669752	174687.29864006306
1.5	4	15.0	graded	45.0	6.0	583.9904698970205	714.476363424865	0.0	583.9904698970205	13.594616805549748	116652.48598600458
1.5	4	15.0	graded	45.0	8.0	1142.1639081163598	1270.1802016442043	0.0	1142.1639081163598	18.126155740732997	155536.64798133948
1.5	4	15.0	graded	45.0	10.0	1859.8154715412247	1984.656565069069	0.0	1859.8154715412247	22.657694675916247	194420.80997667433
1.5	4	15.0	graded	45.0	12.0	2736.9451601716155	2857.90545369946	0.0	2736.9451601716155	27.189233611099496	233304.97197200917
1.5	4	15.0	graded	55.0	6.0	610.0813556332256	714.6506902132788	0.0	610.0813556332256	12.287280664334876	97883.05796676931
1.5	4	15.0	graded	55.0	8.0	1167.5457284087079	1270.4901159347182	0.0	1167.5457284087079	16.383040885779835	130510.7439556924
1.5	4	15.0	graded	55.0	10.0	1884.2856362628988	1985.140806147997	0.0	1884.2856362628988	20.478801107224793	163138.42994461546
1.5	4	15.0	graded	55.0	12.0	2760.301079195799	2858.6027608531153	0.0	2760.301079195799	24.574561328669752	195766.11593353862
2.0	1	15.0	uniform	45.0	6.0	289.4838062244514	322.1052796064126	0.0	289.4838062244514	12.287280664334876	124739.65867798528
2.0	1	15.0	uniform	45.0	8.0	540.6275348072169	572.631608189178	0.0	540.6275348072169	16.383040885779835	166319.54490398036
2.0	1	15.0	uniform	45.0	10.0	863.5266144136294	894.7368877955905	0.0	863.5266144136294	20.478801107224793	207899.43112997548
2.0	1	15.0	uniform	45.0	12.0	1258.181045043689	1288.4211184256503	0.0	1258.181045043689	24.574561328669752	249479.31735597056
2.0	1	15.0	uniform	55.0	6.0	297.1338856153556	323.276219260369	0.0	297.1338856153556	10.606601717798213	107677.51743897358
2.0	1	15.0	uniform	55.0	8.0	548.9771818035978	574.7132786851004	0.0	548.9771818035978	14.142135623730951	143570.02325196477
2.0	1	15.0	uniform	55.0	10.0	872.7757054741948	897.9894979454692	0.0	872.7757054741948	17.677669529663685	179462.52906495592
2.0	1	15.0	uniform	55.0	12.0	1268.5294566271468	1293.104877041476	0.0	1268.5294566271468	21.213203435596427	215355.03487794715
2.0	1	15.0	top_draggy	45.0	6.0	289.4838062244514	322.1052796064126	0.0	289.4838062244514	12.287280664334876	124739.65867798528
2.0	1	15.0	top_draggy	45.0	8.0	540.6275348072169	572.631608189178	0.0	540.6275348072169	16.383040885779835	166319.54490398036
2.0	1	15.0	top_draggy	45.0	10.0	863.5266144136294	894.7368877955905	0.0	863.5266144136294	20.478801107224793	207899.43112997548
2.0	1	15.0	top_draggy	45.0	12.0	1258.181045043689	1288.4211184256503	0.0	1258.181045043689	24.574561328669752	249479.31735597056
2.0	1	15.0	top_draggy	55.0	6.0	297.1338856153556	323.276219260369	0.0	297.1338856153556	10.606601717798213	107677.51743897358
2.0	1	15.0	top_draggy	55.0	8.0	548.9771818035978	574.7132786851004	0.0	548.9771818035978	14.142135623730951	143570.02325196477
2.0	1	15.0	top_draggy	55.0	10.0	872.7757054741948	897.9894979454692	0.0	872.7757054741948	17.677669529663685	179462.52906495592
2.0	1	15.0	top_draggy	55.0	12.0	1268.5294566271468	1293.104877041476	0.0	1268.5294566271468	21.213203435596427	215355.03487794715
