radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	2	20.0	bottom_lifty	65.0	33.29483574557241	3.3294835745572415	1.5949317948477282	108.04852296790745	-24.84692098291039
0.5	2	20.0	graded	45.0	18.329678521594197	1.8329678521594197	3.3987211809148206	106.02653227758869	-49.87898551084598
0.5	2	20.0	graded	55.0	30.402139894630256	3.040213989463026	2.02512091163647	117.07212819529812	-37.00785100588921
0.5	2	20.0	graded	65.0	38.04409016006167	3.804409016006167	1.4845074080314873	117.54703179688596	-23.79153111302389
0.5	2	25.0	uniform	45.0	21.793505092407088	2.1793505092407086	2.971439188669399	112.9541854192145	-49.10924627288756
0.5	2	25.0	uniform	55.0	35.185749908000886	3.5185749908000887	1.8463769069667937	126.63934822203942	-35.94482655847351
0.5	2	25.0	uniform	65.0	40.93677751201072	4.0936777512010725	1.4298052723963421	123.33240650078406	-23.14871170147965
0.5	2	25.0	top_draggy	45.0	19.711736755696258	1.9711736755696259	3.210231757050293	108.79064874579282	-49.57186145882331
0.5	2	25.0	top_draggy	55.0	28.88647411727514	2.888647411727514	2.0941053985714264	114.04079664058789	-37.34466562307922
0.5	2	25.0	top_draggy	65.0	35.41163574557242	3.541163574557242	1.5420555503577071	112.28212296790745	-24.37652098291039
0.5	2	25.0	bottom_lifty	45.0	19.711736755696258	1.9711736755696259	3.210231757050293	108.79064874579282	-49.57186145882331
0.5	2	25.0	bottom_lifty	55.0	28.88647411727514	2.888647411727514	2.0941053985714264	114.04079664058789	-37.34466562307923
0.5	2	25.0	bottom_lifty	65.0	35.41163574557242	3.541163574557242	1.5420555503577071	112.28212296790745	-24.37652098291039
0.5	2	25.0	graded	45.0	20.446478521594194	2.0446478521594194	3.120399626624133	110.2601322775887	-49.40858551084598
0.5	2	25.0	graded	55.0	32.51893989463026	3.2518939894630257	1.9395382130334198	121.30572819529813	-36.5374510058892
0.5	2	25.0	graded	65.0	40.16089016006167	4.016089016006167	1.4437043291920788	121.78063179688596	-23.32113111302389
0.5	2	30.0	uniform	45.0	23.91030509240709	2.391030509240709	2.771265031868862	117.18778541921449	-48.63884627288756
0.5	2	30.0	uniform	55.0	37.30254990800089	3.730254990800089	1.781912324016331	130.8729482220394	-35.47442655847351
0.5	2	30.0	uniform	65.0	43.053577512010726	4.305357751201073	1.3944331947490312	127.56600650078406	-22.678311701479654
0.5	2	30.0	top_draggy	45.0	21.828536755696256	2.1828536755696257	2.967810502309801	113.02424874579282	-49.1014614588233
0.5	2	30.0	top_draggy	55.0	31.003274117275133	3.1003274117275135	1.9996287641760722	118.27439664058788	-36.874265623079225
0.5	2	30.0	top_draggy	65.0	37.528435745572416	3.7528435745572417	1.4951442991914319	116.51572296790745	-23.90612098291039
